176,（ ）为使多人合影照显得庄重而团结，在即将按动快门时，摄影师应指定一个视觉目标，使被摄者视线一致。,√
177,（ ）假如把画面平均分成九等份，按“三分法”原理，最中心一格便是画面视觉地位最为突出的地方。,×
178,（ ）正面拍摄有利于被摄对象立体感和纵深感的表现。,×
179,（ ）新闻摄影与艺术摄影一样，必须把画面的艺术性摆在拍摄的首要位置。,×
180,（ ）与“蝴蝶光”布光法相比，三角灯布光法更适宜拍摄年轻女性。,×
181,（ ）影调可以协助构图，但一定要根据画面的主体需要，气氛的感受来安排。,√
182,（ ）光比强烈的硬调布光效果，适宜拍摄表现细腻皮肤的女性和儿童。,×
183,（ ）数码相机与传统相机的最大区别，在于影像载体不同。,√
184,（ ）在同一底片或感光元件上进行两次或两次以上曝光，称为多次曝光。,√
185,（ ）采访过5次战争，被誉为“战地摄影之神”，并将生命留在了越南战场上的摄影记者是罗伯特·卡帕。,√
186,（ ）摄影名作《欢庆胜利之吻》的拍摄者是著名摄影记者尤金·史密斯。,×
187,（ ）摄影艺术创作实质上就是客观记录，不允许表达拍摄者的个人情感。,×
188,（ ）1937年，在《飞鹰》杂志上提出：“简洁、明朗、生动、有力”摄影主张的摄影名家是郎静山。,×
189,（ ）婚纱照中式场景的风格特点，是以中式建筑物等为背景，有名胜古迹，名山秀水，园林小景，也可以是古典风格的宫廷建筑、洞房。,√
190,（ ）图像传感器的作用是捕捉影像和光电转化。,√
191,（ ）亨利?佩奇?鲁宾逊是摄影术的发明者。,×
192,（ ）从光源的性质上看，有自然光和人工光两种。,√
193,（ ）根据新闻事件发生、发展的性质，新闻摄影题材可划分为事件性新闻和非事件性新闻两大类。,√
194,（ ）使用平均测光拍摄逆光人像时，人的脸部往往会曝光过度。,×
195,（ ）光在摄影上有几大作用：一是满足曝光的需要；二是控制被摄体的再现效果；三是作为拍摄主体。,√
196,（ ）摄影的测光方法，一是机外(单独测光表)测光；二是机内(TTL)测光。,√
197,（ ）摄影者可以方便调节人工光的高度、亮度、颜色、比例等，为摄影意图服务。,√
198,（ ）拍摄动体时，可以根据不同的表现目的采用不同的快门时间。,√
199,（ ）调节镜头与胶平面的距离，得到清晰的影像，是调焦装置的作用。,√
200,（ ）彩色摄影中为了改变主体的受光情况，可以随意使用有颜色的反光板来改变光比。,×
201,（ ）拍照时散射光往往使景物亮部和暗部的细节层次都能够获得丰富的表现。,√
202,（ ）噪点是数码影像在亮部出现的杂乱色彩的颗粒。,×
203,（ ）照度是光源投射出来的光照强度，称为入射光的数值。,√
204,（ ）逆光是拍摄剪影最合适的光照，曝光控制上也容易实现。,√
205,（ ）影像前后全清晰的照片是小景深照片。,×
206,（ ）可见光中的红光比蓝光的波长短。,×
207,（ ）不同地域的色温是不一样的。,√
208,（ ）影响画面景深的主要因素有镜头光圈大小、快门速度高低、镜头的焦距及对焦位置。,×
209,（ ）在风光摄影中，运用逆光拍摄全景或大全景可以增加景物的层次和纵深感。,√
210,（ ）1902年，美国摄影家斯蒂格利茨发起组织了“F64小组”。,×
211,（ ）曝光有两个概念，分为技术性的正确曝光和艺术性的合理曝光。,√
212,（ ）广角镜头焦距短，视角小，景深大，拍摄范围大。,×
213,（ ）当著作权和肖像权发生冲突时，一般认为，对肖像权的保护要优于对著作权的保护。,√
214,（ ）制作高品质的印刷品，或者要将数字文件打印成画幅尺寸大的展览作品，通常采用JPEG格式拍摄。,×
215,（ ）新闻摄影和其他摄影门类的区别在于它是一种采访摄影。,√
216,（ ）中国早期照相馆曾盛行过“分身照”与“化装照”两种摄影样式,√
217,（ ）1844年，广东学者邹伯奇先后完成了两部摄影光学著作——《格术补》和《摄影之器记》,√
218,（ ）摄影记者受雇于新闻机构，在工作期间所拍摄的作品，属于职务作品，其著作权属于所在单位。,√
219,（ ）1960，阿尔伯托·迪亚斯·古铁雷斯拍摄了《切·格瓦拉》这幅经典影像，成为一个国家、一段历史，甚至是一个时代的象征。,√
220,（ ）1956年，荷兰摄影家发起成立了“世界新闻摄影荷兰基金会”，此后，每年举行一次世界性的新闻摄影比赛。,√
221,（ ）新闻摄影的拍摄对象主要是艺术典型。,×
222,（ ）公众人物的隐私权范围要小于普通人。,√
223,（ ）现场人物肖像主要使用摆拍的技法。,×
224,（ ）像素是影像传感器上最基本的感光单位，以相同大小的微小方点形状有间隔地排列在传感器上。,√
225,（ ）对称式均衡构图是主体在画面中心轴线两边的大小数量不一样，但给人的视觉感受却是相同的。,×
226,（ ）拍摄低调人像，光比应控制在1：4以上，曝光不足一档以上。,√
227,（ ）艺术写真的画面强调形式感，可通过后期制作有意制造夸张、变形和虚幻的效果。,√
228,（ ）人像摄影要达到“形神兼备”的境界，在形与神的关系上，形是主导，神是基础。,×
229,（ ）纪实人像允许主观安排，可以采取设计、导演的方式进行拍摄创作。,×
230,（ ）长焦镜头视角大，成像小，有夸张前后透视关系的作用。,×
231,（ ）写意风光摄影指在对自然风景进行客观纪实的前提下，注重风景“神态”表现和作者情趣表达的一种摄影形式。,√
232,（ ）ppi指每英寸的点数，是打印机或冲洗设备、输出设备的精度分辨率。,×
233,（ ）数码照相机可以随时提高或降低感光度，但是选择低感拍摄时，暗部的噪点明显增加。,×
